"ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"CC","GO:0101002","ficolin-1-rich granule","1/7","115/11841",0.066051337270403,0.164396856622275,0.114138915012106,"CTSH",1
"CC","GO:1904813","ficolin-1-rich granule lumen","1/7","115/11841",0.066051337270403,0.164396856622275,0.114138915012106,"CTSH",1
"CC","GO:0045335","phagocytic vesicle","1/7","117/11841",0.0671661194459504,0.164396856622275,0.114138915012106,"STX4",1
"CC","GO:0042734","presynaptic membrane","1/7","136/11841",0.0776997933241202,0.164396856622275,0.114138915012106,"STX4",1
"CC","GO:0030666","endocytic vesicle membrane","1/7","139/11841",0.079353648658167,0.164396856622275,0.114138915012106,"STX4",1
"CC","GO:0042581","specific granule","1/7","139/11841",0.079353648658167,0.164396856622275,0.114138915012106,"STX4",1
"CC","GO:0070820","tertiary granule","1/7","142/11841",0.0810049613384541,0.164396856622275,0.114138915012106,"CTSH",1
"CC","GO:0043197","dendritic spine","1/7","155/11841",0.0881313472643632,0.164396856622275,0.114138915012106,"STX4",1
"CC","GO:0044309","neuron spine","1/7","157/11841",0.089223498861285,0.164396856622275,0.114138915012106,"STX4",1
"CC","GO:0030658","transport vesicle membrane","1/7","161/11841",0.0914044388106108,0.164396856622275,0.114138915012106,"DOC2A",1
"CC","GO:0030027","lamellipodium","1/7","170/11841",0.0962951929353227,0.164396856622275,0.114138915012106,"STX4",1
"CC","GO:0036464","cytoplasmic ribonucleoprotein granule","1/7","176/11841",0.0995431445796608,0.164396856622275,0.114138915012106,"CTSH",1
"CC","GO:0005802","trans-Golgi network","1/7","185/11841",0.104396309835155,0.164396856622275,0.114138915012106,"STX4",1
"CC","GO:0035770","ribonucleoprotein granule","1/7","186/11841",0.104934163801452,0.164396856622275,0.114138915012106,"CTSH",1
"CC","GO:0016323","basolateral plasma membrane","1/7","203/11841",0.114035414253259,0.169836342556018,0.117915489792532,"STX4",1
"CC","GO:0005770","late endosome","1/7","206/11841",0.115633254506225,0.169836342556018,0.117915489792532,"CTSH",1
"CC","GO:0019898","extrinsic component of membrane","1/7","240/11841",0.133570202763042,0.190236349389787,0.132078988378128,"DOC2A",1
"CC","GO:0030139","endocytic vesicle","1/7","263/11841",0.145526405554823,0.190273333444895,0.132104665997576,"STX4",1
"CC","GO:0098791","Golgi apparatus subcompartment","1/7","267/11841",0.147591241141201,0.190273333444895,0.132104665997576,"STX4",1
"CC","GO:0031984","organelle subcompartment","1/7","285/11841",0.156830163395933,0.190273333444895,0.132104665997576,"STX4",1
"CC","GO:0034774","secretory granule lumen","1/7","290/11841",0.159381245958023,0.190273333444895,0.132104665997576,"CTSH",1
"CC","GO:0060205","cytoplasmic vesicle lumen","1/7","294/11841",0.161417345831065,0.190273333444895,0.132104665997576,"CTSH",1
"CC","GO:0031983","vesicle lumen","1/7","296/11841",0.162433809562811,0.190273333444895,0.132104665997576,"CTSH",1
"CC","GO:0009897","external side of plasma membrane","1/7","298/11841",0.16344921704552,0.190273333444895,0.132104665997576,"ACE",1
"CC","GO:0098978","glutamatergic synapse","1/7","303/11841",0.165983120664696,0.190273333444895,0.132104665997576,"STX4",1
"CC","GO:0097060","synaptic membrane","1/7","316/11841",0.172540503919221,0.19308104010008,0.1340540256014,"STX4",1
"CC","GO:0062023","collagen-containing extracellular matrix","1/7","356/11841",0.192440657928905,0.206087370820189,0.143084176829247,"CTSH",1
"CC","GO:0031252","cell leading edge","1/7","357/11841",0.192932857789113,0.206087370820189,0.143084176829247,"STX4",1
"CC","GO:0031012","extracellular matrix","1/7","450/11841",0.237598299372121,0.24815822378866,0.172293503638263,"CTSH",1
"CC","GO:0098552","side of membrane","1/7","465/11841",0.244600103562311,0.249917497118014,0.173514947607132,"ACE",1
"CC","GO:0001669","acrosomal vesicle","0/7","66/11841",1,1,0.694288913773796,"",0
"MF","GO:0004177","aminopeptidase activity","2/7","40/11705",0.000236556269152996,0.00827946942035485,0.00273907259019258,"CTSH/ACE",2
"MF","GO:0008238","exopeptidase activity","2/7","77/11705",0.000878070531527617,0.0153662343017333,0.00508356623515989,"CTSH/ACE",2
"MF","GO:0008236","serine-type peptidase activity","2/7","136/11705",0.0027088006523327,0.0250933417660349,0.00830155667447772,"CTSH/ACE",2
"MF","GO:0017171","serine hydrolase activity","2/7","140/11705",0.00286781048754685,0.0250933417660349,0.00830155667447772,"CTSH/ACE",2
"MF","GO:0060229","lipase activator activity","1/7","10/11705",0.00596656989455047,0.0278297244537489,0.00920682613507483,"STX4",1
"MF","GO:0070008","serine-type exopeptidase activity","1/7","10/11705",0.00596656989455047,0.0278297244537489,0.00920682613507483,"ACE",1
"MF","GO:0031404","chloride ion binding","1/7","11/11705",0.0065615450130404,0.0278297244537489,0.00920682613507483,"ACE",1
"MF","GO:0031434","mitogen-activated protein kinase kinase binding","1/7","11/11705",0.0065615450130404,0.0278297244537489,0.00920682613507483,"ACE",1
"MF","GO:0016805","dipeptidase activity","1/7","12/11705",0.00715621485953544,0.0278297244537489,0.00920682613507483,"ACE",1
"MF","GO:0008656","cysteine-type endopeptidase activator activity involved in apoptotic process","1/7","15/11705",0.00893839407218755,0.0312843792526564,0.0103497194520066,"CTSH",1
"MF","GO:0016505","peptidase activator activity involved in apoptotic process","1/7","18/11705",0.0107178305335083,0.0341021880611627,0.0112819268773771,"CTSH",1
"MF","GO:0004175","endopeptidase activity","2/7","311/11705",0.0135282702996824,0.0394574550407404,0.0130535941488164,"CTSH/ACE",2
"MF","GO:0005484","SNAP receptor activity","1/7","31/11705",0.0183971136099818,0.0418464178750462,0.0138439277180604,"STX4",1
"MF","GO:0051019","mitogen-activated protein kinase binding","1/7","31/11705",0.0183971136099818,0.0418464178750462,0.0138439277180604,"ACE",1
"MF","GO:0005544","calcium-dependent phospholipid binding","1/7","32/11705",0.0189857053698527,0.0418464178750462,0.0138439277180604,"DOC2A",1
"MF","GO:0004180","carboxypeptidase activity","1/7","34/11705",0.0201619813989019,0.0418464178750462,0.0138439277180604,"ACE",1
"MF","GO:0016504","peptidase activator activity","1/7","35/11705",0.0207496659272376,0.0418464178750462,0.0138439277180604,"CTSH",1
"MF","GO:0008047","enzyme activator activity","2/7","397/11705",0.0215210149071666,0.0418464178750462,0.0138439277180604,"CTSH/STX4",2
"MF","GO:0043028","cysteine-type endopeptidase regulator activity involved in apoptotic process","1/7","39/11705",0.0230973838207505,0.0425478123013826,0.0140759679794048,"CTSH",1
"MF","GO:0008233","peptidase activity","2/7","441/11705",0.0262278318749162,0.0458987057811033,0.0151845342433725,"CTSH/ACE",2
